repo,parent commit,method path,rank,RR,AP,hit@10,sort_ranks,ground truth size,inner corpus size,outer corpus size,repo size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/HttpClientHandler.java/checkStatusCode,1.0,1.0,1.0,1.0,"[1.0, 5438.0]",1,33,5404,5438
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/BasicURLHandler.java/checkStatusCode,1.0,1.0,1.0,1.0,"[1.0, 5438.0]",1,8,5429,5438
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/ant/IvyRepositoryReport.java/doExecute,9.0,0.1111111111111111,0.04367353252177118,1.0,"[9.0, 32.0, 35.0, 107.0, 297.0, 383.0, 737.0, 749.0, 3952.0]",8,34,3917,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/install/InstallEngine.java/install,17.0,0.058823529411764705,0.020631427012552456,0.0,"[17.0, 224.0, 243.0, 248.0, 296.0, 309.0, 455.0, 467.0, 3952.0]",8,1,3950,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listTokenValues,7.0,0.14285714285714285,0.1395864030046824,1.0,"[7.0, 11.0, 18.0, 19.0, 21.0, 47.0, 208.0, 519.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listOrganisationEntries,1.0,1.0,0.7230082206635451,1.0,"[1.0, 2.0, 3.0, 4.0, 6.0, 7.0, 107.0, 284.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listOrganisations,1.0,1.0,0.7261121553884712,1.0,"[1.0, 2.0, 3.0, 4.0, 6.0, 7.0, 84.0, 228.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listModuleEntries,1.0,1.0,0.6720238627223165,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 20.0, 134.0, 334.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listModules,1.0,1.0,0.6865656936290498,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 21.0, 72.0, 73.0, 3952.0]",8,8,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listRevisionEntries,1.0,1.0,0.6932928751576293,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 26.0, 28.0, 122.0, 3952.0]",8,10,3941,3952
